word,total,astronomical,biological,cosmological,herbal,text only,unknown
daiin,852,11,81,28,461,40,231
ol,566,3,224,40,97,47,155
aiin,524,13,36,33,115,51,276
chedy,505,1,185,12,63,41,203
y,502,15,58,51,186,42,150
s,500,18,40,33,245,37,127
o,495,15,47,57,197,33,146
shedy,434,0,219,11,37,44,123
ar,420,13,18,55,86,64,184
chol,397,6,10,13,228,28,112
or,396,6,65,34,132,50,109
r,361,10,48,41,116,27,119
chey,352,2,75,12,79,29,155
dar,328,10,58,28,118,37,77
dy,312,10,55,25,163,17,42
qokeey,307,4,78,2,22,20,181
qokeedy,306,0,147,1,12,10,136
qokain,277,0,158,1,7,10,101
shey,276,6,87,4,44,27,108
qokedy,275,0,158,4,40,11,62
al,270,3,17,23,26,25,176
qokaiin,265,0,81,3,34,25,122
a,261,8,28,30,106,18,71
l,260,2,35,22,50,14,137
dal,246,6,63,21,69,31,56
okaiin,215,0,31,4,59,12,109
dain,212,3,40,1,91,17,60
chor,212,2,0,3,156,10,41
qokal,193,0,102,13,12,23,43
shol,184,0,13,8,115,14,34
cheey,182,3,41,5,25,6,102
okeey,180,5,16,12,15,5,127
cheol,170,2,28,1,34,8,97
chy,166,5,10,8,111,8,24
otedy,162,0,48,17,23,10,64
qokar,156,0,45,3,29,31,48
okal,155,2,24,14,39,21,55
otaiin,154,0,12,5,33,11,93
otar,150,2,20,11,25,18,74
sheey,148,1,28,10,26,15,68
chdy,147,0,18,11,59,17,42
qoky,144,0,60,1,34,14,35
qol,143,0,104,0,3,5,31
oteey,141,7,17,15,11,4,87
chckhy,140,0,34,5,49,10,42
okain,140,1,40,1,19,10,69
d,139,5,13,21,71,11,18
okar,138,3,18,11,38,21,47
otal,136,0,22,4,24,22,64
sho,128,1,1,5,93,6,22
saiin,126,2,30,1,37,10,46
ain,119,3,17,6,16,11,66
okedy,119,1,41,7,25,11,34
oty,118,1,17,9,51,8,32
lchedy,115,0,51,0,3,10,51
ch,113,4,14,11,45,3,36
dol,109,2,28,2,48,4,25
dair,109,9,3,12,35,9,41
okeedy,109,1,36,1,16,4,51
qokey,108,1,35,1,8,12,51
sheol,108,1,25,1,21,12,48
oteedy,106,1,22,11,5,4,63
cthy,102,1,1,2,91,4,3
oky,101,2,12,3,51,10,23
shy,100,1,9,3,70,4,13
qokol,97,1,21,2,33,5,35
otain,96,0,23,2,11,7,53
shor,94,0,3,3,67,8,13
chody,92,1,0,5,46,6,34
cheor,92,4,10,2,32,5,39
cho,91,4,0,2,58,2,25
am,90,3,4,12,21,8,42
cheody,90,3,0,5,22,5,55
dam,89,2,7,6,45,8,21
qotedy,89,0,46,1,12,5,25
qoty,88,0,27,3,31,7,20
char,85,0,5,3,35,5,37
air,84,4,3,9,14,8,46
sheedy,83,0,40,2,8,5,28
otol,82,3,12,7,31,7,22
chcthy,81,0,23,3,25,5,25
cheo,80,4,0,3,17,1,55
kaiin,79,0,7,2,24,9,37
qotaiin,79,0,13,4,14,8,40
